,number,pokemon_name,pic_url,main_type,secondary_type,region,category,pokemon_family,attack,defense,stamina,flee_rate,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,pkedex_desc,poss_attacks,CP_Min,CP_Max,HP_Min,HP_Max,Porcentagem_masculino,Porcentagem_feminino,Tx_captura,Fire_weakness,Flying_weakness,Ice_weakness,Psychic_weakness,Ground_weakness,Rock_weakness,Water_weakness,Electric_weakness,Grass_weakness,Fighting_weakness,Poison_weakness,Steel_weakness,Bug_weakness,Fairy_weakness,Dark_weakness,Ghost_weakness,Dragon_weakness,0_weakness,Electric_resistance,Fairy_resistance,Fighting_resistance,Water_resistance,Grass_resistance,Bug_resistance,Fire_resistance,Ice_resistance,Steel_resistance,Ground_resistance,Poison_resistance,Ghost_resistance,Flying_resistance,Rock_resistance,Dark_resistance,Dragon_resistance,Psychic_resistance,Normal_resistance,0_resistance
10,11,Metapod,https://static.wikia.nocookie.net/pokemongo/images/6/6b/Metapod.png,Bug,0,Kanto,Cocoon,Caterpie family,45,80,137,9%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,"['Bug Bite', 'Tackle', 'Struggle']",450,450,12,120,50.0,50.0,25.0,-160.0,-160.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,Butterfree,https://static.wikia.nocookie.net/pokemongo/images/9/96/Butterfree.png,Bug,Flying,Kanto,Butterfly,Caterpie family,167,137,155,6%,Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","['Confusion', 'Struggle Bug', 'Bug Bite', 'Bug Buzz', 'Psychic', 'Signal Beam']",1827,1827,14,134,50.0,50.0,12.5,-160.0,-160.0,-160.0,0.0,0.0,-256.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,62.5,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,Weedle,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Weedle.png,Bug,Poison,Kanto,Hairy,Weedle family,63,50,120,20%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"['Bug Bite', 'Poison Sting', 'Struggle']",456,456,11,106,50.0,50.0,50.0,-160.0,-160.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,39.0,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,Kakuna,https://static.wikia.nocookie.net/pokemongo/images/6/63/Kakuna.png,Bug,Poison,Kanto,Cocoon,Weedle family,46,75,128,9%,Yes ,No,No  ,Formerly ,Yes,Yes,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","['Bug Bite', 'Poison Sting', 'Struggle']",432,432,12,113,50.0,50.0,25.0,-160.0,-160.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,39.0,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,Beedrill,https://static.wikia.nocookie.net/pokemongo/images/0/0d/Beedrill.png,Bug,Poison,Kanto,Poison,Weedle family,169,130,163,6%,Yes ,No,Formerly  (4th tier level),No,Yes,Yes,"Standard Pokédex description
Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","['Infestation', 'Poison Jab', 'Bug Bite', 'Aerial Ace', 'Fell Stinger', 'Sludge Bomb', 'X-Scissor', 'Drill Run']",1846,1846,15,140,50.0,50.0,12.5,-160.0,-160.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,0.0,39.0,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,Pidgey,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Pidgey.png,Normal,Flying,Kanto,Tiny,Pidgey family,85,73,120,20%,Yes ,No,No  ,Formerly ,Yes,No,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","['Quick Attack', 'Tackle', 'Aerial Ace', 'Air Cutter', 'Twister']",680,680,11,106,50.0,50.0,50.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,Pidgeotto,https://static.wikia.nocookie.net/pokemongo/images/5/57/Pidgeotto.png,Normal,Flying,Kanto,Bird,Pidgey family,117,105,160,9%,Yes ,No,No  ,Formerly ,Yes,No,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","['Steel Wing', 'Wing Attack', 'Aerial Ace', 'Air Cutter', 'Twister']",1194,1194,15,138,50.0,50.0,25.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,Pidgeot,https://static.wikia.nocookie.net/pokemongo/images/a/a9/Pidgeot.png,Normal,Flying,Kanto,Bird,Pidgey family,166,154,195,6%,Yes ,No,Formerly  (4th tier level),No,Yes,No,"Standard Pokédex description
This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","['Air Slash', 'Steel Wing', 'Gust', 'Wing Attack', 'Aerial Ace', 'Brave Bird', 'Feather Dance', 'Hurricane', 'Air Cutter']",2129,2129,18,165,50.0,50.0,12.5,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19,Rattata,https://static.wikia.nocookie.net/pokemongo/images/c/c4/Rattata.png,Normal,0,Kanto,Mouse,Rattata family,103,70,102,20%,Yes ,No,No  ,Formerly ,Yes,Yes,"Standard Pokédex description
Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","['Quick Attack', 'Tackle', 'Body Slam', 'Dig', 'Hyper Fang', 'Quick Attack', 'Tackle', 'Crunch', 'Hyper Fang', 'Shadow Ball']",734,734,10,92,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20,Raticate,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Raticate.png,Normal,0,Kanto,Mouse,Rattata family,161,139,146,7%,Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Standard Pokédex description
Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","['Bite', 'Quick Attack', 'Dig', 'Hyper Beam', 'Hyper Fang', 'Bite', 'Quick Attack', 'Crunch', 'Hyper Beam', 'Hyper Fang']",1730,1730,13,127,50.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21,Spearow,https://static.wikia.nocookie.net/pokemongo/images/a/a1/Spearow.png,Normal,Flying,Kanto,Tiny,Spearow family,112,60,120,15%,Yes ,No,No  ,Formerly ,Yes,No,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","['Peck', 'Quick Attack', 'Aerial Ace', 'Drill Peck', 'Sky Attack', 'Twister']",798,798,11,106,50.0,50.0,50.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,Fearow,https://static.wikia.nocookie.net/pokemongo/images/4/41/Fearow.png,Normal,Flying,Kanto,Beak,Spearow family,182,133,163,7%,Yes ,No,Formerly  (3rd tier level),No,Yes,No,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,"['Peck', 'Steel Wing', 'Aerial Ace', 'Drill Run', 'Sky Attack', 'Twister']",1997,1997,15,140,50.0,50.0,20.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,Ekans,https://static.wikia.nocookie.net/pokemongo/images/1/11/Ekans.png,Poison,0,Kanto,Snake,Ekans family,110,97,111,15%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,"['Acid', 'Poison Sting', 'Poison Fang', 'Sludge Bomb', 'Wrap', 'Gunk Shot']",927,927,10,99,50.0,50.0,50.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,62.5,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,Arbok,https://static.wikia.nocookie.net/pokemongo/images/4/4d/Arbok.png,Poison,0,Kanto,Cobra,Ekans family,167,153,155,7%,Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crushing embrace is impossible.","['Acid', 'Bite', 'Dragon Tail', 'Acid Spray', 'Dark Pulse', 'Gunk Shot', 'Sludge Wave']",1921,1921,14,134,50.0,50.0,20.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,62.5,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,Pikachu,https://static.wikia.nocookie.net/pokemongo/images/7/77/Pikachu.png,Electric,0,Kanto,Mouse,Pikachu family,112,96,111,10%,Yes (Very-rare; common during certain game events),No,Formerly  (1st tier level),Yes ,Yes,No,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.","['Quick Attack', 'Thunder Shock', 'Present', 'Discharge', 'Thunderbolt', 'Wild Charge', 'Surf', 'Thunder', 'Quick Attack', 'Thunder Shock', 'Discharge', 'Fly', 'Thunderbolt', 'Wild Charge', 'Charm', 'Thunder Shock', 'Flying Press', 'Play Rough', 'Thunder Punch', 'Charm', 'Thunder Shock', 'Draining Kiss', 'Play Rough', 'Thunder Punch', 'Charm', 'Thunder Shock', 'Meteor Mash', 'Play Rough', 'Thunder Punch']",938,938,10,99,50.0,50.0,20.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0
25,26,Raichu,https://static.wikia.nocookie.net/pokemongo/images/3/34/Raichu.png,Electric,0,Kanto,Mouse,Pikachu family,193,151,155,6%,Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Standard Pokédex description
If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.","['Charm', 'Spark', 'Thunder Shock', 'Volt Switch', 'Brick Break', 'Skull Bash', 'Thunder Punch', 'Wild Charge', 'Thunder', 'Spark', 'Thunder Shock', 'Volt Switch', 'Grass Knot', 'Psychic', 'Thunder Punch', 'Wild Charge']",2182,2182,14,134,50.0,50.0,10.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0
26,27,Sandshrew,https://static.wikia.nocookie.net/pokemongo/images/d/df/Sandshrew.png,Ground,0,Kanto,Mouse,Sandshrew family,126,120,137,10%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Standard Pokédex description
Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.","['Mud Shot', 'Scratch', 'Dig', 'Rock Slide', 'Sand Tomb', 'Rock Tomb', 'Metal Claw', 'Powder Snow', 'Blizzard', 'Gyro Ball', 'Night Slash']",1261,1261,12,120,50.0,50.0,50.0,0.0,0.0,-160.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0
27,28,Sandslash,https://static.wikia.nocookie.net/pokemongo/images/1/13/Sandslash.png,Ground,0,Kanto,Mouse,Sandshrew family,182,175,181,6%,Yes ,No,Formerly  (2nd tier level),Formerly ,Yes,Yes,"Standard Pokédex description
Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.","['Metal Claw', 'Mud Shot', 'Bulldoze', 'Earthquake', 'Rock Tomb', 'Night Slash', 'Metal Claw', 'Powder Snow', 'Shadow Claw', 'Blizzard', 'Bulldoze', 'Gyro Ball', 'Ice Punch']",2374,2374,17,154,50.0,50.0,20.0,0.0,0.0,-160.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0
28,29,Nidoran♀,https://static.wikia.nocookie.net/pokemongo/images/c/c8/Nidoran%E2%99%80.png,Poison,0,Kanto,Poison,Nidoran♀ family,86,89,146,15%,Yes ,No,No  ,Formerly ,Yes,Yes,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.","['Bite', 'Poison Sting', 'Body Slam', 'Poison Fang', 'Sludge Bomb']",816,816,13,127,0.0,0.0,50.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,62.5,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,Nidorina,https://static.wikia.nocookie.net/pokemongo/images/3/31/Nidorina.png,Poison,0,Kanto,Poison,Nidoran♀ family,117,120,172,7%,Yes ,No,No  ,Formerly ,Yes,Yes,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","['Bite', 'Poison Sting', 'Dig', 'Poison Fang', 'Sludge Bomb']",1309,1309,16,147,0.0,0.0,25.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,62.5,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31,Nidoqueen,https://static.wikia.nocookie.net/pokemongo/images/4/43/Nidoqueen.png,Poison,Ground,Kanto,Drill,Nidoran♀ family,180,173,207,5%,Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,"['Bite', 'Poison Jab', 'Earth Power', 'Earthquake', 'Poison Fang', 'Sludge Wave', 'Stone Edge']",2488,2488,19,175,0.0,0.0,12.5,0.0,0.0,-160.0,-160.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,62.5,62.5,0.0,0.0,62.5,0.0,0.0,0.0,0.0,39.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0
